RMS,MEAN,STDev,VARIANCE,KURTOSIS,CLASS
1.6918,0.71827,1.5318,2.3464,-43.9466,0
1.3942,0.76061,1.1684,1.3652,-42.9466,0
1.3937,0.76297,1.1663,1.3603,-41.9466,0
1.3934,0.76021,1.1677,1.3636,-40.9466,0
1.3943,0.76021,1.1688,1.3662,-39.9466,0
1.3949,0.75818,1.1709,1.371,-38.9466,0
1.3913,0.7545,1.1689,1.3664,-37.9466,0
1.2417,0.78922,0.9586,0.91891,-36.9466,0
1.2401,0.79123,0.95492,0.91187,-35.9466,0
1.2404,0.79422,0.95281,0.90785,-34.9466,0
1.2379,0.78968,0.95334,0.90886,-33.9466,0
1.2396,0.79175,0.95381,0.90975,-32.9466,0
1.2411,0.78954,0.95752,0.91684,-31.9466,0
1.3711,0.53666,1.2618,1.592,-30.9466,0
1.3703,0.53442,1.2618,1.5922,-29.9466,0
1.3726,0.53604,1.2636,1.5966,-28.9466,0
1.3784,0.53869,1.2688,1.6099,-27.9466,0
1.3714,0.53477,1.2628,1.5947,-26.9466,0
1.9441,0.55034,1.8646,3.4767,-25.9466,0
1.9402,0.54764,1.8613,3.4645,-24.9466,0
1.9398,0.54846,1.8607,3.4622,-23.9466,0
1.9393,0.5478,1.8603,3.4607,-22.9466,0
1.938,0.54615,1.8595,3.4578,-21.9466,0
1.9412,0.54823,1.8622,3.4679,-20.9466,0
1.1143,0.5354,0.97725,0.95503,-19.9466,0
1.1106,0.53295,0.9744,0.94946,-18.9466,0
1.1097,0.53243,0.97363,0.94796,-17.9466,0
1.1103,0.53368,0.97358,0.94785,-16.9466,0
1.112,0.53089,0.97704,0.95461,-15.9466,0
1.1152,0.5339,0.97909,0.95862,-14.9466,0
1.2439,0.55782,1.1119,1.2362,-13.9466,0
1.24,0.55787,1.1074,1.2264,-12.9466,0
1.2393,0.5545,1.1084,1.2285,-11.9466,0
1.242,0.55428,1.1115,1.2354,-10.9466,0
1.2397,0.55726,1.1074,1.2263,-9.9466,0
1.2427,0.55583,1.1114,1.2353,-8.9466,0
1.2434,0.54656,1.1168,1.2472,-7.9466,0
1.245,0.55068,1.1165,1.2467,-6.9466,0
1.2477,0.55411,1.118,1.2498,-5.9466,0
1.2423,0.54603,1.1159,1.2453,-4.9466,0
1.2448,0.55255,1.1155,1.2443,-3.9466,0
1.2459,0.55213,1.1169,1.2474,-2.9466,0
1.246,0.54745,1.1193,1.2528,-1.9466,0
